agency,approxname,approxdept,state_code,google_name,google_address,lat,lon,type
Emeryville Police Dept,Emeryville,Police Dept,CA,Emeryville Police Department,"2449 Powell St, Emeryville, CA 94608, United States",37.8368267,-122.3039022,"police,point_of_interest,establishment"
Tukwila Police Dept,Tukwila,Police Dept,WA,Tukwila Police Department,"6200 Southcenter Blvd, Tukwila, WA 98188, United States",47.4631913,-122.2554084,"police,point_of_interest,establishment"
Myrtle Beach Police Dept,Myrtle Beach,Police Dept,SC,Myrtle Beach Police Department,"1101 N Oak St, Myrtle Beach, SC 29577, United States",33.6977953,-78.8820334,"local_government_office,police,point_of_interest,establishment"
Lumberton Police Dept,Lumberton,Police Dept,NC,Lumberton Police Department,"407 N Sycamore St, Lumberton, NC 28358, United States",34.6192666,-79.0028145,"police,point_of_interest,establishment"
City Of College Park Police Dept,City Of College Park,Police Dept,GA,College Park Police Department,"3717 College St, College Park, GA 30337, United States",33.6536774,-84.451652,"police,point_of_interest,establishment"
Bessemer Police Dept,Bessemer,Police Dept,AL,Bessemer Police Jail,"23 15th St N, Bessemer, AL 35020, United States",33.3970601,-86.9545547,"local_government_office,police,point_of_interest,establishment"
Branson Police Dept,Branson,Police Dept,MO,Branson Police Department,"110 W Maddux St # 100, Branson, MO 65616, United States",36.6411362,-93.2174611,"police,point_of_interest,establishment"
Hammond Police Dept,Hammond,Police Dept,LA,Hammond Police Department,"120 S Oak St, Hammond, LA 70401, United States",30.5030124,-90.4623146,"police,point_of_interest,establishment"
Fairfield Police Dept,Fairfield,Police Dept,AL,Fairfield Police Department,"5231 Court B, Fairfield, AL 35064, United States",33.4847842,-86.915295,"police,point_of_interest,establishment"
Bellmead Police Dept,Bellmead,Police Dept,TX,Bellmead Police Department,"701 Maxfield St, Waco, TX 76705, United States",31.5885174,-97.1008174,"police,point_of_interest,establishment"
Henderson Police Dept,Henderson,Police Dept,NC,Henderson Police Department,"200 Breckenridge St, Henderson, NC 27536, United States",36.3275446,-78.4042833,"police,point_of_interest,establishment"
East Point Police Dept,East Point,Police Dept,GA,East Point Police Department,"2727 E Point St, East Point, GA 30344, United States",33.680602,-84.4421714,"police,point_of_interest,establishment"
Anniston Police Dept,Anniston,Police Dept,AL,Anniston Police Department,"174 W 13th St, Anniston, AL 36201, United States",33.660843,-85.8326556,"police,point_of_interest,establishment"
Panama City Beach Police Dept,Panama City Beach,Police Dept,FL,Panama City Beach Police Substation,"536 Richard Jackson Blvd, Panama City Beach, FL 32407, United States",30.185971,-85.8186687,"police,point_of_interest,establishment"
Humble Police Dept,Humble,Police Dept,TX,Humble Police Department,"310 N Bender Ave, Humble, TX 77338, United States",29.9997835,-95.2678369,"police,point_of_interest,establishment"
Crossville Police Dept,Crossville,Police Dept,TN,Crossville Police Department,"141 Henry Ave , Crossville, TN 38555, Municipal Ave, Crossville, TN 38555, United States",35.9466899,-85.0283794,"police,point_of_interest,establishment"
Miami Beach Police Dept,Miami Beach,Police Dept,FL,Miami Beach Police Department,"1100 Washington Ave, Miami Beach, FL 33139, United States",25.78231,-80.133226,"local_government_office,police,point_of_interest,establishment"
Florida City Police Dept,Florida City,Police Dept,FL,Florida City Police Department,"404 W Palm Dr, Florida City, FL 33034, United States",25.4483049,-80.4828171,"police,point_of_interest,establishment"
Bastrop Police Dept,Bastrop,Police Dept,LA,Bastrop City Police Department,"202 E Jefferson Ave, Bastrop, LA 71220, United States",32.7783602,-91.9157066,"police,point_of_interest,establishment"
Bemidji Police Dept,Bemidji,Police Dept,MN,Bemidji City Police Department,"613 Minnesota Ave NW, Bemidji, MN 56601, United States",47.4739562,-94.8831946,"police,point_of_interest,establishment"
Bridgeton Police Dept,Bridgeton,Police Dept,MO,Bridgeton Police Department,"12355 Natural Bridge Rd, Bridgeton, MO 63044, United States",38.7566883,-90.4233779,"police,point_of_interest,establishment"
Chillicothe Police Dept,Chillicothe,Police Dept,OH,Chillicothe Police Department,"28 N Paint St, Chillicothe, OH 45601, United States",39.3341395,-82.9828783,"police,point_of_interest,establishment"
Douglas Police Dept,Douglas,Police Dept,GA,Douglas Police Department,"225 W Bryan St, Douglas, GA 31533, United States",31.5069475,-82.8521114,"police,point_of_interest,establishment"
North Myrtle Beach Police Dept,North Myrtle Beach,Police Dept,SC,North Myrtle Beach Police Department,"1015 2nd Ave S, North Myrtle Beach, SC 29582, United States",33.8276414,-78.6853177,"police,point_of_interest,establishment"
Whitehall Police Dept,Whitehall,Police Dept,OH,Whitehall Police Department,"365 S Yearling Rd, Columbus, OH 43213, United States",39.9683925,-82.8856073,"police,point_of_interest,establishment"
West Memphis Police Dept,West Memphis,Police Dept,AR,West Memphis Police-Detective,"626 E Broadway Blvd, West Memphis, AR 72301, United States",35.1469494,-90.1762862,"police,point_of_interest,establishment"
Springfield Police Dept,Springfield,Police Dept,MO,Springfield Police Department,"321 E Chestnut Expy, Springfield, MO 65802, United States",37.2159693,-93.290202,"police,point_of_interest,establishment"
Beckley Police Dept,Beckley,Police Dept,WV,Beckley Police Department,"340 Prince St, Beckley, WV 25801, United States",37.7774284,-81.1912401,"police,point_of_interest,establishment"
Denham Springs Police Dept,Denham Springs,Police Dept,LA,Denham Springs Police Department,"447 Lamm St, Denham Springs, LA 70726, United States",30.4804565,-90.9608447,"police,point_of_interest,establishment"
Spokane Police Dept,Spokane,Police Dept,WA,Spokane Police Department,"1100 W Mallon Ave, Spokane, WA 99260, United States",47.6655915,-117.4289708,"police,point_of_interest,establishment"
Gallup Police Dept,Gallup,Police Dept,NM,City of Gallup Police Department,"451 Boardman Dr, Gallup, NM 87301, United States",35.5235334,-108.70752,"police,point_of_interest,establishment"
Cordele Police Dept,Cordele,Police Dept,GA,Georgia State Patrol,"208 GA-300, Cordele, GA 31015, United States",31.9248551,-83.7782149,"police,point_of_interest,establishment"
North Little Rock Police Dept,North Little Rock,Police Dept,AR,N Little Rock Police Sub-Sta,"201 E Broadway St, North Little Rock, AR 72114, United States",34.7566908,-92.266257,"police,point_of_interest,establishment"
Athens Police Dept,Athens,Police Dept,TN,Athens City Police Department,"815 N Jackson St, Athens, TN 37303, United States",35.4511323,-84.5974435,"police,point_of_interest,establishment"
Selma Police Dept,Selma,Police Dept,AL,Selma Police Chief's Office,"1300 Alabama Ave, Selma, AL 36703, United States",32.4082999,-87.0173,"police,point_of_interest,establishment"
Benton Harbor Police Dept,Benton Harbor,Police Dept,MI,Benton Harbor Police Department,"200 E Wall St, Benton Harbor, MI 49022, United States",42.1151388,-86.4531424,"police,point_of_interest,establishment"
Hot Springs Police Dept,Hot Springs,Police Dept,AR,Hot Springs Police Department,"641 Malvern Ave, Hot Springs National Park, AR 71901, United States",34.505268,-93.04811,"police,point_of_interest,establishment"
Martinsville Police Dept,Martinsville,Police Dept,IN,Martinsville Police Department,"55 W Church St, Martinsville, VA 24112, United States",36.6908098,-79.8748004,"police,point_of_interest,establishment"
Lake City Police Dept,Lake City,Police Dept,FL,Lake City Police Department,"225 NW Main Blvd, Lake City, FL 32055, United States",30.191024,-82.639044,"police,point_of_interest,establishment"
Middletown Police Dept,Middletown,Police Dept,OH,Middletown Police Department,"1 Donham Plaza, Middletown, OH 45042, United States",39.5192017,-84.4012279,"police,point_of_interest,establishment"
Newport Police Dept,Newport,Police Dept,KY,Newport Police Department,"998 Monmouth St, Newport, KY 41071, United States",39.0872975,-84.4893605,"police,point_of_interest,establishment"
Orange City Police Dept,Orange City,Police Dept,FL,Orange City Police Department,"207 N Holly Ave, Orange City, FL 32763, United States",28.9495851,-81.2981253,"police,point_of_interest,establishment"
Talladega Police Dept,Talladega,Police Dept,AL,Talladega City Police Department,"203 South Street W, Talladega, AL 35160, United States",33.4327569,-86.1038243,"police,point_of_interest,establishment"
Gadsden Police Dept,Gadsden,Police Dept,AL,Gadsden City Police Department,"90 Broad St, Gadsden, AL 35901, United States",34.009474,-86.000309,"police,point_of_interest,establishment"
Union City Police Dept,Union City,Police Dept,GA,Union City Police Department,"5060 Union St, Union City, GA 30291, United States",33.5788134,-84.5532407,"police,point_of_interest,establishment"
Elkton Police Dept,Elkton,Police Dept,MD,Elkton Police Department,"100 Railroad Ave, Elkton, MD 21921, United States",39.6104936,-75.8307411,"police,point_of_interest,establishment"
Little Rock Police Dept,Little Rock,Police Dept,AR,Little Rock Police Department,"700 W Markham St, Little Rock, AR 72201, United States",34.749401,-92.277662,"police,point_of_interest,establishment"
Opa-Locka Police Dept,Opa-Locka,Police Dept,FL,Opa-locka Police Department,"2495 Ali Baba Ave, Opa-locka, FL 33054, United States",25.9064285,-80.2418634,"police,point_of_interest,establishment"
Forrest City Police Dept,Forrest City,Police Dept,AR,Forrest City Police Department,"225 N Rosser, Forrest City, AR 72335, United States",35.010423,-90.787285,"police,point_of_interest,establishment"
Puyallup Police Dept,Puyallup,Police Dept,WA,Puyallup Police Department-Jail,"311 W Pioneer Ave, Puyallup, WA 98371, United States",47.1907031,-122.296666,"police,point_of_interest,establishment"
Jasper Police Dept,Jasper,Police Dept,AL,Jasper Police Department,"1610 Alabama Ave, Jasper, AL 35501, United States",33.8351043,-87.2751367,"police,point_of_interest,establishment"
Forest Acres Police Dept,Forest Acres,Police Dept,SC,Forest Acres Police Department,"5205 Trenholm Rd, Columbia, SC 29206, United States",34.0195414,-80.9668017,"police,point_of_interest,establishment"
West Monroe Police Dept,West Monroe,Police Dept,LA,West Monroe Police Department,"2301 N 7th St, West Monroe, LA 71291, United States",32.5202246,-92.1487012,"police,point_of_interest,establishment"
Poplar Bluff City Police Dept,Poplar Bluff City,Police Dept,MO,Poplar Bluff Police Department,"330 N 2nd St, Poplar Bluff, MO 63901, United States",36.7577407,-90.3912855,"police,point_of_interest,establishment"
Alamo Police Dept,Alamo,Police Dept,TX,City of Alamo Police Department,"423 N Tower Rd, Alamo, TX 78516, United States",26.1867495,-98.1108304,"police,point_of_interest,establishment"
Commerce,,,CA,Commerce Police Department,"1103 Sycamore St, Commerce, TX 75428, United States",33.2485998,-95.8991201,"police,point_of_interest,establishment"
Cocoa Police Dept,Cocoa,Police Dept,FL,Cocoa Police Department,"1226 King Street, Cocoa, FL 32922, United States",28.3562542,-80.7467974,"police,point_of_interest,establishment"
Santa Fe Springs,,,CA,Police Service Center,"11576 Telegraph Rd, Santa Fe Springs, CA 90670, United States",33.9470555,-118.0863885,"police,point_of_interest,establishment"
Monroe Police Dept,Monroe,Police Dept,GA,Monroe Police Department Administration,"116 S Broad St, Monroe, GA 30655, United States",33.7941859,-83.7135953,"police,point_of_interest,establishment"
Florence Police Dept,Florence,Police Dept,SC,Florence Police Department,"324 W Evans St, Florence, SC 29501, United States",34.1967658,-79.7714568,"police,point_of_interest,establishment"
Leon Valley Police Dept,Leon Valley,Police Dept,TX,Leon Valley Police Department,"6400 El Verde Rd, San Antonio, TX 78238, United States",29.4923699,-98.6164051,"police,point_of_interest,establishment"
Helena Police Dept,Helena,Police Dept,AR,West Helena Police Department,"98 Plaza # A, West Helena, AR 72390, United States",34.5442338,-90.645652,"police,point_of_interest,establishment"
Zephyrhills Police Dept,Zephyrhills,Police Dept,FL,Zephyrhills Police Department,"6118 8th St, Zephyrhills, FL 33542, United States",28.2466348,-82.1847782,"police,point_of_interest,establishment"
Monroe Police Dept,Monroe,Police Dept,LA,Monroe Police Department,"700 Wood St, Monroe, LA 71201, United States",32.5010743,-92.1101863,"police,point_of_interest,establishment"
Harper Woods Police Dept,Harper Woods,Police Dept,MI,Harper Woods Police Department,"19617 Harper Ave, Harper Woods, MI 48225, United States",42.4332745,-82.9239295,"police,point_of_interest,establishment"
Gulf Shores Police Dept,Gulf Shores,Police Dept,AL,Gulf Shores Police Department,"220 Clubhouse Dr, Gulf Shores, AL 36542, United States",30.2713629,-87.6899429,"police,point_of_interest,establishment"
Indianola Police Dept,Indianola,Police Dept,MS,Indianola Police Department,"300 2nd St, Indianola, MS 38751, United States",33.4499545,-90.647075,"police,point_of_interest,establishment"
Middlesboro Police Dept,Middlesboro,Police Dept,KY,Middlesboro Police Chief,"150 N 20th St, Middlesboro, KY 40965, United States",36.6085204,-83.7142912,"police,point_of_interest,establishment"
Joplin Police Dept,Joplin,Police Dept,MO,Joplin Police Department,"303 E 3rd St, Joplin, MO 64801, United States",37.0890674,-94.5109982,"police,point_of_interest,establishment"
Blytheville Police Dept,Blytheville,Police Dept,AR,Blytheville Police Department,"201 W Walnut St, Blytheville, AR 72315, United States",35.9283806,-89.9044922,"police,point_of_interest,establishment"
Jesup City Police Dept,Jesup City,Police Dept,GA,Jesup Police Department,"1355 W Orange St, Jesup, GA 31545, United States",31.6149499,-81.9012719,"police,point_of_interest,establishment"
Weslaco Police Dept,Weslaco,Police Dept,TX,Weslaco Police Department,"901 N Airport Dr, Weslaco, TX 78596, United States",26.1715515,-97.9753723,"police,point_of_interest,establishment"
Ontario Police Dept,Ontario,Police Dept,OR,Ontario Police Department,"2500 S Archibald Ave, Ontario, CA 91761, United States",34.0291979,-117.596771,"police,point_of_interest,establishment"
Sedalia Police Dept,Sedalia,Police Dept,MO,Sedalia Police Department,"201 W 2nd St, Sedalia, MO 65301, United States",38.7098295,-93.2295933,"police,point_of_interest,establishment"
Hamilton City Police Dept,Hamilton City,Police Dept,OH,Hamilton Police Department,"331 S Front St, Hamilton, OH 45011, United States",39.3977035,-84.5658467,"police,point_of_interest,establishment"
Alexandria City Police Dept,Alexandria City,Police Dept,LA,City Of Alexandria Police Department,"1000 Bolton Ave, Alexandria, LA 71301, United States",31.303304,-92.4533527,"police,point_of_interest,establishment"
Burien,,,WA,Burien Police Services,"14905 6th Ave SW, Burien, WA 98166, United States",47.469332,-122.3423514,"police,point_of_interest,establishment"
Salt Lake City Police Dept,Salt Lake City,Police Dept,UT,Salt Lake City Police Department,"1040 W 700 S, Salt Lake City, UT 84114, United States",40.7547292,-111.9218136,"police,point_of_interest,establishment"
Opelousas Police Dept,Opelousas,Police Dept,LA,St Landry Parish Sheriff,"108 S Market St, Opelousas, LA 70570, United States",30.5340996,-92.0844581,"police,point_of_interest,establishment"
City Of Port Orchard Police Dept,City Of Port Orchard,Police Dept,WA,Port Orchard Police Department,"546 Bay St, Port Orchard, WA 98366, United States",47.541237,-122.6388418,"police,point_of_interest,establishment"
Greenwood Police Dept,Greenwood,Police Dept,SC,Greenwood Police Department,"520 Monument St, Greenwood, SC 29646, United States",34.1886267,-82.1626958,"police,point_of_interest,establishment"
Cocoa Beach Police Dept,Cocoa Beach,Police Dept,FL,Cocoa Beach Police Department,"20 S Orlando Ave, Cocoa Beach, FL 32931, United States",28.3178942,-80.6103998,"police,point_of_interest,establishment"
Millville Police Dept,Millville,Police Dept,NJ,Millville Police Department,"18 S High St, Millville, NJ 08332, United States",39.3945315,-75.0384002,"police,point_of_interest,establishment"
Anderson Police Dept,Anderson,Police Dept,SC,Anderson Police Department,"401 South Main Street, Anderson, SC 29624, United States",34.5011962,-82.6493069,"police,point_of_interest,establishment"
Clarksville Police Dept,Clarksville,Police Dept,IN,The Clarksville Police Department,"135 Commerce St, Clarksville, TN 37040, United States",36.5259516,-87.360888,"police,point_of_interest,establishment"
Glendale Police Dept,Glendale,Police Dept,WI,Glendale Police Department,"5909 N Milwaukee River Pkwy, Milwaukee, WI 53209, United States",43.125033,-87.93014,"police,point_of_interest,establishment"
Macon Police Dept,Macon,Police Dept,GA,Macon Police Department,"911 1st St, Macon, GA 31201, United States",32.8309088,-83.6365085,"police,point_of_interest,establishment"
Moultrie Co Police Dept,Moultrie Co,Police Dept,GA,Moultrie Police Department,"128 1st St SW, Moultrie, GA 31768, United States",31.1782793,-83.7906136,"police,point_of_interest,establishment"
Moses Lake Police Dept,Moses Lake,Police Dept,WA,Moses Lake Police Department,"411 S Balsam St, Moses Lake, WA 98837, United States",47.1305569,-119.2738887,"police,point_of_interest,establishment"
Gonzales Police Dept,Gonzales,Police Dept,LA,Gonzales Police Department,"415 E Cornerview St, Gonzales, LA 70737, United States",30.2325672,-90.9169852,"police,point_of_interest,establishment"
Springfield City Police Dept,Springfield City,Police Dept,OH,Springfield Police,"130 N Fountain Ave, Springfield, OH 45502, United States",39.92686,-83.809505,"police,point_of_interest,establishment"
Americus Police Dept,Americus,Police Dept,GA,Americus Police Department,"119 S Lee St, Americus, GA 31709, United States",32.0712569,-84.2328888,"police,point_of_interest,establishment"
Spartanburg Public Safety Dept,,,SC,Spartanburg Police Department,"145 W Broad St, Spartanburg, SC 29306, United States",34.9479396,-81.9324651,"police,point_of_interest,establishment"
Eureka Police Dept,Eureka,Police Dept,CA,Eureka Police Department,"604 C St, Eureka, CA 95501, United States",40.80038,-124.1692775,"police,point_of_interest,establishment"
Laurinburg Police Dept,Laurinburg,Police Dept,NC,Laurinburg Police Department,"303 W Church St, Laurinburg, NC 28352, United States",34.7748981,-79.4656389,"police,point_of_interest,establishment"
New Castle Police Dept,New Castle,Police Dept,IN,New Castle City Police Department,"1 Municipal Blvd, New Castle, DE 19720, United States",39.6699422,-75.5622261,"police,point_of_interest,establishment"
Brunswick Police Dept,Brunswick,Police Dept,GA,Brunswick Police Department,"206 Mansfield St, Brunswick, GA 31520, United States",31.1459885,-81.4950729,"police,point_of_interest,establishment"
Tifton City Police Dept,Tifton City,Police Dept,GA,State Patrol Office,"3028 Hwy 41 S, Tifton, GA 31794, United States",31.4375797,-83.5026341,"police,point_of_interest,establishment"
Asheboro Police Dept,Asheboro,Police Dept,NC,Asheboro Police Department,"205 E Academy St, Asheboro, NC 27203, United States",35.7034576,-79.8119465,"police,point_of_interest,establishment"
Griffin Police Dept,Griffin,Police Dept,GA,Griffin Police Department,"868 W Poplar St, Griffin, GA 30224, United States",33.245118,-84.2765629,"police,point_of_interest,establishment"
West Plains Police Dept,West Plains,Police Dept,MO,West Plains Police Department,"1912 Holiday Ln, West Plains, MO 65775, United States",36.7546822,-91.8715481,"police,point_of_interest,establishment"
South Miami Police Dept,South Miami,Police Dept,FL,South Miami Police Department,"6130 Sunset Dr, South Miami, FL 33143, United States",25.7032989,-80.292091,"police,point_of_interest,establishment"
Norwood Police Dept,Norwood,Police Dept,OH,Norwood Police Department,"4701 Montgomery Rd, Cincinnati, OH 45212, United States",39.1620985,-84.4557901,"police,point_of_interest,establishment"
Cleveland Police Dept,Cleveland,Police Dept,MS,Cleveland City Police Department,"301 S Sharpe Ave, Cleveland, MS 38732, United States",33.7425213,-90.7217148,"police,point_of_interest,establishment"
Birmingham Police Dept,Birmingham,Police Dept,AL,Birmingham Police Department,"600 Red Lane Rd, Birmingham, AL 35215, United States",33.5913863,-86.7002239,"police,point_of_interest,establishment"
St. Louis Police Dept,St. Louis,Police Dept,MO,St Louis Police Department Central Patrol,"919 N Jefferson Ave, St. Louis, MO 63106, United States",38.6385581,-90.21344,"police,point_of_interest,establishment"
Smithfield Police Dept,Smithfield,Police Dept,NC,Smithfield Police Department,"110 S 5th St, Smithfield, NC 27577, United States",35.509455,-78.3439167,"police,point_of_interest,establishment"
Circleville Police Dept,Circleville,Police Dept,OH,Circleville Police Department,"151 East Franklin S, Circleville, OH 43113, United States",39.6000655,-82.9438684,"police,point_of_interest,establishment"
Hope Mills Police Dept,Hope Mills,Police Dept,NC,Hope Mills Police Department,"5776 Rockfish Rd, Hope Mills, NC 28348, United States",34.9734561,-78.9586383,"police,point_of_interest,establishment"
Council Bluffs Police Dept,Council Bluffs,Police Dept,IA,Council Bluffs Police Department,"227 S 6th St, Council Bluffs, IA 51503, United States",41.2573245,-95.8526246,"police,point_of_interest,establishment"
Cape Girardeau Police Dept,Cape Girardeau,Police Dept,MO,Cape Girardeau Police Department,"40 S Sprigg St, Cape Girardeau, MO 63703, United States",37.3030922,-89.5268866,"police,point_of_interest,establishment"
Pine Bluff Police Dept,Pine Bluff,Police Dept,AR,Pine Bluff Police Department,"200 E 8th Ave #2, Pine Bluff, AR 71601, United States",34.2202181,-92.0011033,"police,point_of_interest,establishment"
Flint Twp Police Dept,Flint Twp,Police Dept,MI,Flint Township Police Department,"5200 Norko Dr, Flint, MI 48507, United States",42.9794573,-83.7789451,"police,point_of_interest,establishment"
Texarkana Police Dept,Texarkana,Police Dept,TX,Texarkana Police Chief,"100 N State Line Ave, Texarkana, TX 75501, United States",33.420872,-94.0429968,"police,point_of_interest,establishment"
Cumberland Police Dept,Cumberland,Police Dept,MD,Cumberland Police Department,"20 Bedford St, Cumberland, MD 21502, United States",39.6530011,-78.7635197,"police,point_of_interest,establishment"
East St Louis Police Dept,East St Louis,Police Dept,IL,East St. Louis Police Department,"301 Riverpark Dr #3, East St Louis, IL 62201, United States",38.6265059,-90.1625566,"police,point_of_interest,establishment"
Mansfield Police Dept,Mansfield,Police Dept,OH,Mansfield Police Department,"30 N Diamond St, Mansfield, OH 44902, United States",40.7587885,-82.5129517,"police,point_of_interest,establishment"
Phenix Police Dept,Phenix,Police Dept,AL,Phenix City Police Department,"1111 Broad St, Phenix City, AL 36867, United States",32.467817,-85.0013039,"police,point_of_interest,establishment"
Hope Police Dept,Hope,Police Dept,AR,Hope Police Department,"400 S Washington St, Hope, AR 71801, United States",33.663746,-93.5986759,"police,point_of_interest,establishment"
Dyersburg Police Dept,Dyersburg,Police Dept,TN,Police Department,"425 W Market St, Dyersburg, TN 38024, United States",36.0320232,-89.3901841,"police,point_of_interest,establishment"
Knoxville Police Dept,Knoxville,Police Dept,TN,Knoxville Police Department,"800 Howard Baker Jr Blvd, Knoxville, TN 37915, United States",35.9669053,-83.9080616,"local_government_office,police,point_of_interest,establishment"
Vidalia Police Dept,Vidalia,Police Dept,GA,Vidalia Police Department,"302 First Street East, Vidalia, GA 30474, United States",32.2167192,-82.40888,"police,point_of_interest,establishment"
Greeneville Police Dept,Greeneville,Police Dept,TN,Greeneville Police Department,"200 N College St, Greeneville, TN 37745, United States",36.1637906,-82.8280165,"police,point_of_interest,establishment"
Orlando Police Dept,Orlando,Police Dept,FL,Orlando Police Department,"100 S Hughey Ave, Orlando, FL 32801, United States",28.5413585,-81.3834904,"police,point_of_interest,establishment"
Johnson City Police Dept,Johnson City,Police Dept,NY,Johnson City Police Department,"31 Avenue C, Johnson City, NY 13790, United States",42.1158349,-75.9539743,"police,point_of_interest,establishment"
Dublin Police Dept,Dublin,Police Dept,GA,Dublin Police Department,"346 S Jefferson St, Dublin, GA 31021, United States",32.5359784,-82.902725,"police,point_of_interest,establishment"
Texarkana Police Dept,Texarkana,Police Dept,AR,City of Wake Village,"624 Burma Rd, Texarkana, TX 75501, United States",33.4260909,-94.1056712,"local_government_office,police,point_of_interest,establishment"
Oakland Police Dept,Oakland,Police Dept,CA,Oakland Police Special Victim Division,"455 7th St #4, Oakland, CA 94607, United States",37.7993975,-122.2749506,"police,point_of_interest,establishment"
Hyattsville Police Dept,Hyattsville,Police Dept,MD,Hyattsville Police Department,"4310 Gallatin St, Hyattsville, MD 20781, United States",38.9529587,-76.94177,"police,point_of_interest,establishment"
Jackson Police Dept,Jackson,Police Dept,MS,Jackson Police Department,"327 E Pascagoula St, Jackson, MS 39205, United States",32.296988,-90.183749,"police,point_of_interest,establishment"
Fremont Police Dept,Fremont,Police Dept,OH,Fremont Police Department,"1141 W State St, Fremont, OH 43420, United States",41.3515573,-83.1247941,"police,point_of_interest,establishment"
Zanesville Police Dept,Zanesville,Police Dept,OH,Zanesville Police Department,"332 South St, Zanesville, OH 43701, United States",39.938336,-82.008841,"police,point_of_interest,establishment"
Springdale Police Dept,Springdale,Police Dept,OH,Springdale Police Department,"12105 Lawnview Ave, Cincinnati, OH 45246, United States",39.2901504,-84.4833261,"police,point_of_interest,establishment"
Easley Police Dept,Easley,Police Dept,SC,Easley Police Department,"220 NW Main St, Easley, SC 29640, United States",34.8303023,-82.6061323,"police,point_of_interest,establishment"
Hickory Police Dept,Hickory,Police Dept,NC,Hickory Police Department,"347 2nd Ave SW, Hickory, NC 28602, United States",35.7296034,-81.3434226,"police,point_of_interest,establishment"
Atlanta Police Dept,Atlanta,Police Dept,GA,Atlanta Police Department,"200 Spring St NW, Atlanta, GA 30303, United States",33.7598755,-84.3892924,"police,point_of_interest,establishment"
Statesville Police Dept,Statesville,Police Dept,NC,Statesville Police Department,"330 S Tradd St, Statesville, NC 28677, United States",35.782599,-80.88504,"police,point_of_interest,establishment"
Lilburn Police Dept,Lilburn,Police Dept,GA,Lilburn Police Department,"76 Main St NW, Lilburn, GA 30047, United States",33.886061,-84.1337397,"police,point_of_interest,establishment"
Rutland Police Dept,Rutland,Police Dept,VT,Rutland Police Department,"108 Wales St, Rutland, VT 05701, United States",43.6047172,-72.9770114,"police,point_of_interest,establishment"
Conyers Police Dept,Conyers,Police Dept,GA,Conyers Police Department,"1194 Scott St SE, Conyers, GA 30012, United States",33.6586569,-84.016537,"police,point_of_interest,establishment"
Beaufort Police Dept,Beaufort,Police Dept,SC,Beaufort Police Department,"1901 Boundary St #2, Beaufort, SC 29902, United States",32.44007,-80.6844734,"police,point_of_interest,establishment"
St. Augustine Police Dept,St. Augustine,Police Dept,FL,City of St. Augustine: Police Department,"St Augustine, FL 32084, United States",29.8912962,-81.32073,establishment
Seymour Police Dept,Seymour,Police Dept,IN,Seymour Police Department,"205 N Ewing St, Seymour, IN 47274, United States",38.9603336,-85.8882971,"police,point_of_interest,establishment"
Silver City Police Dept,Silver City,Police Dept,NM,Silver City Police Department,"1011 N Hudson St, Silver City, NM 88061, United States",32.7758789,-108.2746199,"police,point_of_interest,establishment"
Canton Police Dept,Canton,Police Dept,OH,Canton Police Department,"218 Cleveland Ave SW, Canton, OH 44702, United States",40.797647,-81.376434,"police,point_of_interest,establishment"
Union City Police Dept,Union City,Police Dept,TN,Union City Police Department,"408 S Depot St # 2, Union City, TN 38261, United States",36.4230557,-89.0563523,"police,point_of_interest,establishment"
South Salt Lake Police Dept,South Salt Lake,Police Dept,UT,South Salt Lake City Police,"2835 Main Street, Salt Lake City, UT 84115, United States",40.7094346,-111.890853,"police,point_of_interest,establishment"
Orangeburg Dept Of Public Safety,,,SC,Orangeburg Public Safety,"1320 State Rd S-38-211, Orangeburg, SC 29115, United States",33.4925032,-80.8661529,"police,local_government_office,point_of_interest,establishment"
Palatka Police Dept,Palatka,Police Dept,FL,Palatka Police Department,"110 N 11th St, Palatka, FL 32177, United States",29.6486541,-81.6401674,"police,point_of_interest,establishment"
Pueblo Police Dept,Pueblo,Police Dept,CO,Pueblo Police Department,"200 S Main St, Pueblo, CO 81003, United States",38.262966,-104.6129197,"police,point_of_interest,establishment"
Thomasville Police Dept,Thomasville,Police Dept,GA,Thomasville Police Department,"921 Smith Ave, Thomasville, GA 31792, United States",30.83659,-83.9624358,"police,point_of_interest,establishment"
Glendale Police Dept,Glendale,Police Dept,AZ,Glendale Police Department,"6835 N 57th Dr, Glendale, AZ 85301, United States",33.537785,-112.182121,"police,point_of_interest,establishment"
Muskegon Heights Police Dept,Muskegon Heights,Police Dept,MI,Muskegon Heights Police Department,"2715 Baker St, Muskegon, MI 49444, United States",43.2022877,-86.2431081,"police,point_of_interest,establishment"
Maplewood Police Dept,Maplewood,Police Dept,MN,Maplewood Police Department,"1830 County Rd B E, Maplewood, MN 55109, United States",45.0037768,-93.0211824,"police,point_of_interest,establishment"
Fayetteville Police Dept,Fayetteville,Police Dept,NC,Fayetteville Police Department,"467 Hay St, Fayetteville, NC 28301, United States",35.054186,-78.8843718,"police,point_of_interest,establishment"
Albany Police Dept,Albany,Police Dept,GA,Albany Police Department,"1721 E Oglethorpe Blvd, Albany, GA 31705, United States",31.5711729,-84.1052336,"police,point_of_interest,establishment"
Cambridge Police Dept,Cambridge,Police Dept,OH,Cambridge Police Department,"125 6th St, Cambridge, MA 02141, United States",42.3672744,-71.0859816,"police,point_of_interest,establishment"
